"signature"	"gene"	"rho.x"	"p.value.x"	"q.value.x"	"rho.y"	"p.value.y"	"q.value.y"
"1"	"ACTL6A..86."	"-0.117173178502897"	"0.000325014177864255"	0.0116209044774018	"-0.124795081934964"	"0.000166538007042352"	0.00677273357826974
"1"	"LPIN1..23175."	"-0.107714723601664"	"0.000836404992556164"	0.0135897640137671	"-0.105453356544517"	"0.0191728496803825"	0.0334544308502462
"1"	"EEF1A1..1915."	"-0.105295712327721"	"0.00106200418772142"	0.0147512603741179	"-0.0939897569454134"	"0.00344205042579458"	0.0201176183623042
"1"	"RNF39..80352."	"-0.104223650513133"	"0.00117880929328882"	0.0147512603741179	"-0.0904294115009306"	"0.0114366139344939"	0.02882438857617
"1"	"EIF3E..3646."	"-0.098808363911237"	"0.00196932817960841"	0.015713560331323	"-0.086672846715978"	"0.0145911120741271"	0.0310829810485776
"1"	"HUS1B..135458."	"-0.100375223486405"	"0.00170163297327489"	0.015713560331323	"-0.0942838421441636"	"0.0320296396095535"	0.0421060538838192
"1"	"LBP..3929."	"-0.0999354032547787"	"0.00177321722374756"	0.015713560331323	"-0.110250233589957"	"0.00276592807051197"	0.0182998064764815
"1"	"USP7..7874."	"-0.0990610608206095"	"0.0019710675200557"	0.015713560331323	"-0.0766571741815975"	"0.0136552849206842"	0.0306030342117343
"1"	"BRAF..673."	"-0.0961969312859574"	"0.0025015277349958"	0.0159568528851678	"-0.087086893274318"	"0.0060240030996433"	0.023341159553562
"1"	"SLX4..84464."	"-0.0963618638728172"	"0.00246440990789117"	0.0159568528851678	"-0.0868853609104424"	"0.0103184287430646"	0.027975932864308
"1"	"SIDT1..54847."	"-0.0954822234095651"	"0.00266828183615649"	0.0163647779428021	"-0.10400788997506"	"0.0205385613455642"	0.0336888166867286
"1"	"NPAT..4863."	"-0.0946997073296292"	"0.00292711270465406"	0.0164238185319276	"-0.0848345035489613"	"0.0119128075304901"	0.0292772388461197
"1"	"RAPGEF5..9771."	"-0.0946575604752663"	"0.00287311757413437"	0.0164238185319276	"-0.115031804856914"	"0.000470828751683179"	0.00977256931009687
"1"	"TNFAIP8L3..388121."	"-0.0917437514407438"	"0.00371531877327099"	0.0176900550357769	"-0.143298299453952"	"0.00244320726043836"	0.0178921743819981
"1"	"CPLX1..10815."	"-0.0914413750315009"	"0.00381431355114305"	0.0177761405119308	"-0.118569839344481"	"0.0132869569948525"	0.0304361574131692
"1"	"ATP1A2..477."	"-0.0868232625994275"	"0.00564919773251935"	0.0179112629296315	"-0.072425014064179"	"0.018525525187144"	0.0333093938791474
"1"	"CDH4..1002."	"-0.090176891865576"	"0.00425439673492734"	0.0179112629296315	"-0.0918729963312744"	"0.00403986729310434"	0.0206443468110487
"1"	"CDH8..1006."	"-0.0836345659201387"	"0.00733769931281227"	0.0179112629296315	"-0.137534756764875"	"0.000269192534280738"	0.00786843753825514
"1"	"ECI2..10455."	"-0.0849815153794934"	"0.00657661701144548"	0.0179112629296315	"-0.0991513950796575"	"0.00215397699642217"	0.0170138515557151
"1"	"FIGN..55137."	"-0.0848440715571103"	"0.00665094405962938"	0.0179112629296315	"-0.102120963825342"	"0.00166136228990094"	0.0155417762603636
"1"	"KCNQ2..3785."	"-0.0870156839507639"	"0.00555934504030199"	0.0179112629296315	"-0.082332112673114"	"0.00896118387635251"	0.0266811429583391
"1"	"PPP1R16A..84988."	"-0.0879503019429692"	"0.00514073058530503"	0.0179112629296315	"-0.0996441808467542"	"0.00205968692221626"	0.0169423111135286
"1"	"PRR3..80742."	"-0.0863834423678014"	"0.00585943363022875"	0.0179112629296315	"-0.0954664966100834"	"0.0303967192388817"	0.0408861251357871
"1"	"PSMG2..56984."	"-0.0847616052636804"	"0.00669589585601472"	0.0179112629296315	"-0.0966491510760032"	"0.0288333861832932"	0.0397418345682273
"1"	"RACK1..10399."	"-0.0841568524451946"	"0.00703382727345157"	0.0179112629296315	"-0.0957966918076197"	"0.00294041931372211"	0.0185051525191478
"1"	"RPL26..6154."	"-0.0867957738349509"	"0.00566213854292613"	0.0179112629296315	"-0.106636011010437"	"0.018113609779389"	0.0329544970892272
"1"	"TERF1..7013."	"-0.084838048162126"	"0.00677731791365251"	0.0179112629296315	"-0.0722191062668943"	"0.0189262540136156"	0.0333451619923969
"1"	"ZNF622..90441."	"-0.0839919198583349"	"0.00712856460018686"	0.0179112629296315	"-0.0907358787464041"	"0.037367780126408"	0.0462253083376231
"1"	"IQGAP3..128239."	"-0.0816003973488683"	"0.00863428882591977"	0.0179451627655631	"-0.0932902982890754"	"0.00365601809351648"	0.0204448829414806
"1"	"MYH3..4621."	"-0.0819577512870644"	"0.00839291085018303"	0.0179451627655631	"-0.101982128062685"	"0.00360955768656418"	0.0204448829414806
"1"	"RPS7..6201."	"-0.0804458692408499"	"0.00945622917506244"	0.0179451627655631	"-0.11089280388212"	"0.00263148373878201"	0.0180764020619457
"1"	"SYNCRIP..10492."	"-0.0820951951094476"	"0.00830166260438306"	0.0179451627655631	"-0.103053575367126"	"0.00152326848826097"	0.0150231785947054
"1"	"TAF3..83860."	"-0.0793655218072017"	"0.0104551673779006"	0.0182016293878141	"-0.110805908808205"	"0.000721526121117202"	0.0115073191242223
"1"	"RPS3..6188."	"-0.0780268579669067"	"0.0114029689562718"	0.0187768888813276	"-0.093246835089645"	"0.00947679539397229"	0.0273164574031537
"1"	"DROSHA..29102."	"-0.0777244815576638"	"0.0116692584268922"	0.0187948560847923	"-0.0908421929918925"	"0.0045020232376291"	0.021173857134513
